Comment,Designator,Footprint,LCSC Part Number
3Volts,BT1,Batery Holder:cr1616,
Motor_DC,M1,,C2685990
4u7,C1,C0805,C2835535
4u7,C2,C0805,C2835535
4u7,C3,C0805,C2835535
4u7,C5,C0805,C2835535
100n,C4,0603,C342854
1N4148,D1,SOD-123,C917030
1N4148,D2,SOD-123,C917030
SS14HE,D3,SOD-123HE,C4749020
4.7uH,L1,SMD,4x4mm,C5120868
BSS214NW,Q2,SOT-323,C3247496
910k,R1,R0805,C3016845
910k,R13,R0805,C3016845
100K,R2,R0805,C3017875
120k,R3,R0805,C268319
120k,R6,R0805,C268319
100k,R4,R0805,C3017875
100k,R5,R0805,C3017875
10k,R7,R0805,C3016734
10k,R8,R0805,C3016734
10k,R11,R0805,C3016734
10k,R12,R0805,C3016734
1k,R9,R0805,C3017842
22k,R10,R0805,C2889807
10,R14,R0805,C101420
On,SW1,SW_SPDT_PCM12,C493292
SE555D,U1,SO:SOIC-8,C7593
TPS61070,U2,SOT-23-6,C9841
49E Hall,U3,SOT-23,C85573
LM393,U4,SO:SOIC-8,C2931601
